        nu  unc1  unc2 nu1' nu2' nu3' nu4' L3' L4'  J'  K' i' Gtot'  Nb'  nu1"  nu2"  nu3"  nu4"  L3"  L4"  J"  K" i" Gtot"  Nb"          E'        Calc'  Obs-Calc'          Source Method  BandMatch
8380.95509  0.01  0.01    0    0    2    1   2   1   2   2  a    E"  -19     0     0     0     0    0    0   3   2  s    E'    1 8485.377178  8488.080437  -2.703259 16BaYuTeBe.1892     Br      False
8392.05105  0.01  0.01    0    0    2    1   2   1   2   2  a    E"  -20     0     0     0     0    0    0   3   2  s    E'    1 8496.473138  8494.920997   1.552141 16BaYuTeBe.1938     Br      False
8387.93337  0.01  0.01    0    0    2    1   2   1   2   1  s    E"  -21     0     0     0     0    0    0   3   1  a    E'    2 8504.211665  8502.563387   1.648278 16BaYuTeBe.1928     Br       True
8479.07804  0.01  0.01    0    0    2    1   2   1   2   1  s    E"  -22     0     0     0     0    0    0   2   2  s    E'    1 8523.874018  8519.081294   4.792724 16BaYuTeBe.2088     Br       True
7561.50608  0.01  0.01    1    1    0    2   0   2   2   2  s    E'   -1     0     0     0     0    0    0   2   1  s    E"    2 7617.444813  7618.285415  -0.840602  16BaYuTeBe.172     Br      False
7577.80822  0.01  0.01    1    1    0    2   0   2   2   0  s    E'   -2     0     0     0     0    0    0   2   1  s    E"    2 7633.746953  7634.825173  -1.078220  16BaYuTeBe.193     Br      False
7585.02779  0.01  0.01    1    1    1    0   1   0   2   2  s    E'   -3     0     0     0     0    0    0   3   1  s    E"    2 7700.564421  7700.160978   0.403443  16BaYuTeBe.203     Br       True
7659.09192  0.01  0.01    1    1    1    0   1   0   2   0  s    E'   -4     0     0     0     0    0    0   2   1  s    E"    2 7715.030653  7714.944568   0.086085  16BaYuTeBe.349     CD       True
7599.49414  0.01  0.01    1    1    1    0   1   0   2   0  s    E'   -4     0     0     0     0    0    0   3   1  s    E"    2 7715.030771  7714.944568   0.086203  16BaYuTeBe.236     CD       True
7698.85798  0.01  0.01    1    1    1    0   1   0   2   0  s    E'   -4     0     0     0     0    0    0   1   1  s    E"    1 7715.030973  7714.944568   0.086405  16BaYuTeBe.420     CD       True
7843.68685  0.01  0.01    0    1    2    0   2   0   2   2  s    E'   -5     0     0     0     0    0    0   2   1  s    E"    2 7899.625583  7899.545338   0.080245  16BaYuTeBe.695     CD       True
7883.45310  0.01  0.01    0    1    2    0   2   0   2   2  s    E'   -5     0     0     0     0    0    0   1   1  s    E"    1 7899.626093  7899.545338   0.080755  16BaYuTeBe.759     CD       True
7784.09227  0.01  0.01    0    1    2    0   2   0   2   2  s    E'   -5     0     0     0     0    0    0   3   1  s    E"    2 7899.628901  7899.545338   0.083563  16BaYuTeBe.592     CD       True
7796.25462  0.01  0.01    0    1    2    0   2   0   2   0  s    E'   -6     0     0     0     0    0    0   3   1  s    E"    2 7911.791251  7911.712089   0.079162  16BaYuTeBe.621     CD       True
7855.85290  0.01  0.01    0    1    2    0   2   0   2   0  s    E'   -6     0     0     0     0    0    0   2   1  s    E"    2 7911.791633  7911.712089   0.079544  16BaYuTeBe.716     CD       True
7811.77977  0.01  0.01    0    1    2    0   2   0   2   1  a    E'   -7     0     0     0     0    0    0   3   2  a    E"    1 7916.963525  7916.957952   0.005573  16BaYuTeBe.651     CD       True
7871.37625  0.01  0.01    0    1    2    0   2   0   2   1  a    E'   -7     0     0     0     0    0    0   2   2  a    E"    1 7916.963530  7916.957952   0.005578  16BaYuTeBe.744     CD       True
8132.85660  0.01  0.01    2    0    0    1   0   1   2   0  s    E'   -8     0     0     0     0    0    0   1   1  s    E"    1 8149.029593  8151.358322  -2.328729 16BaYuTeBe.1072     Br       True
8198.09346  0.01  0.01    1    0    1    1   1   1   2   2  s    E'   -9     0     0     0     0    0    0   1   1  s    E"    1 8214.266453  8214.200475   0.065978 16BaYuTeBe.1244     Br       True
8130.69890  0.01  0.01    1    0    1    1   1   1   2   1  a    E'  -10     0     0     0     0    0    0   3   2  a    E"    1 8235.882655  8236.028542  -0.145887 16BaYuTeBe.1065     CD      False
8179.94442  0.01  0.01    1    0    1    1   1   1   2   1  a    E'  -10     0     0     0     0    0    0   2   1  s    E"    2 8235.883153  8236.028542  -0.145389 16BaYuTeBe.1193     CD      False
8190.29679  0.01  0.01    1    0    1    1   1   1   2   1  a    E'  -10     0     0     0     0    0    0   2   2  a    E"    1 8235.884070  8236.028542  -0.144472 16BaYuTeBe.1225     CD      False
8120.34794  0.01  0.01    1    0    1    1   1   1   2   1  a    E'  -10     0     0     0     0    0    0   3   1  s    E"    2 8235.884571  8236.028542  -0.143971 16BaYuTeBe.1050     CD      False
8219.94128  0.01  0.01    1    0    1    1   1   1   2   0  s    E'  -11     0     0     0     0    0    0   1   1  s    E"    1 8236.114273  8236.028542   0.085731 16BaYuTeBe.1319     Br       True
8230.21744  0.01  0.01    1    0    0    3   0   1   2   2  s    E'  -12     0     0     0     0    0    0   2   1  s    E"    2 8286.156173  8281.477166   4.679007 16BaYuTeBe.1345     Br      False
8260.30593  0.01  0.01    1    0    0    3   0   1   2   0  s    E'  -13     0     0     0     0    0    0   2   1  s    E"    2 8316.244663  8315.395729   0.848934 16BaYuTeBe.1448     CD      False
8200.70915  0.01  0.01    1    0    0    3   0   1   2   0  s    E'  -13     0     0     0     0    0    0   3   1  s    E"    2 8316.245781  8315.395729   0.850052 16BaYuTeBe.1253     CD      False
8304.49537  0.01  0.01    1    0    0    3   0   1   2   1  a    E'  -14     0     0     0     0    0    0   1   1  s    E"    1 8320.668363  8320.649710   0.018653 16BaYuTeBe.1609     CD      False
8264.73432  0.01  0.01    1    0    0    3   0   1   2   1  a    E'  -14     0     0     0     0    0    0   2   1  s    E"    2 8320.673053  8320.649710   0.023343 16BaYuTeBe.1468     CD      False
8280.60386  0.01  0.01    1    2    0    2   0   2   2   2  s    E'  -15     0     0     0     0    0    0   2   1  s    E"    2 8336.542593  8337.071747  -0.529154 16BaYuTeBe.1520   CD_b      False
8320.37971  0.01  0.01    1    2    0    2   0   2   2   2  s    E'  -15     0     0     0     0    0    0   1   1  s    E"    1 8336.552703  8337.071747  -0.519044 16BaYuTeBe.1680   CD_b      False
