C.1	C.2       	C.3       	C.4       	C.5                 	C.6	C.7	C.8	C.9	C.10	C.11	C.12	C.13	C.14	C.15	C.16	C.17	C.18	C.19	C.20	C.21	C.22	C.23	C.24	C.25	C.26	C.27	C.28	C.29	C.30	C.31	C.32
1	4728.74933	   0.00034	1.2690E-24	0011_11_aE"<-0000   	1	0	0	1	1	1	1	1	6	12	7	6	2	138	0	0	0	0	0	0	1	5	13	6	1	5	3
	4728.78423	          	3.3573E-25																												
	4729.04524	          	2.5679E-25																												
	4729.15993	          	8.4132E-25																												
1	4729.66350	   0.00001	1.3389E-24	1300_00_sA1'<-0100  	1	1	3	0	0	0	0	0	1	1	0	2	2	31	0	1	0	0	0	0	1	5	2	0	1	5	2
	4729.87250	          	1.1591E-24																												
	4730.04630	          	4.5863E-25																												
1	4730.12016	          	5.0759E-25	1300_00_sA1'<-0100  	1	1	3	0	0	0	0	0	1	1	1	6	6	50	0	1	0	0	0	0	1	5	2	1	6	3	4
1	4730.21270	   0.00024	2.5180E-25	1001_01_aE"<-0000   	1	1	0	0	1	0	1	1	6	8	4	3	6	189	0	0	0	0	0	0	0	1	9	2	3	3	5
	4730.43194	          	4.2266E-25																												
1	4730.56358	   0.00005	1.5388E-24	0011_11_sE'<-0000   	1	0	0	1	1	1	1	0	3	12	7	6	5	147	0	0	0	0	0	0	0	1	13	6	2	2	3
1	4730.74475	   0.00103	2.3281E-25	1001_01_aE"<-0000   	1	1	0	0	1	0	1	1	6	9	7	6	2	101	0	0	0	0	0	0	1	5	10	6	1	5	2
	4730.76763	          	3.4272E-25																												
	4730.90938	          	3.9368E-25																												
1	4731.20790	          	8.2334E-25	0110_10_sE'<-0000   	1	0	1	1	0	1	0	0	3	14	8	3	2	107	0	0	0	0	0	0	0	1	13	9	5	5	2
	4731.22833	          	4.3665E-25																												
1	4731.24459	   0.00031	8.5931E-25	1001_01_sE'<-0000   	1	1	0	0	1	0	1	0	3	9	7	6	5	92	0	0	0	0	0	0	0	1	10	6	2	2	2
	4731.31940	          	4.3865E-25																												
1	4731.50014	   0.00009	1.3089E-24	0011_11_aE"<-0000   	1	0	0	1	1	1	1	1	6	10	10	3	5	102	0	0	0	0	0	0	1	5	11	9	4	2	1
	4731.53040	          	5.5855E-25																												
	4731.62772	          	4.0867E-25																												
1	4731.81185	          	5.2258E-25	0102_02_aE"<-0000   	1	0	1	0	2	0	2	1	6	13	4	3	5	98	0	0	0	0	0	0	1	5	12	9	4	2	2
1	4731.87459	          	7.8106E-25	0110_10_aE"<-0000   	1	0	1	1	0	1	0	1	6	12	10	3	6	169	0	0	0	0	0	0	1	5	11	11	6	3	1
1	4731.87162	   0.00055	8.8760E-25	1001_01_aE"<-0000   	1	1	0	0	1	0	1	1	6	9	7	6	2	102	0	0	0	0	0	0	1	5	10	6	1	5	2
	4731.94332	          	8.3133E-25																												
1	4732.08089	   0.00018	1.3789E-24	0011_11_sE'<-0000   	1	0	0	1	1	1	1	0	3	10	10	3	2	93	0	0	0	0	0	0	0	1	11	9	5	5	1
	4732.19375	          	2.4480E-25																												
1	4732.22934	   0.00044	2.7278E-25	0310_10_sE'<-0100   	1	0	3	1	0	1	0	0	3	8	2	3	2	139	0	1	0	0	0	0	0	1	9	3	5	5	6
	4732.48843	          	6.4348E-25																												
	4732.55677	          	1.6387E-24																												
	4732.67924	          	1.6487E-24																												
	4732.72845	          	2.5779E-25																												
	4732.77998	          	1.1091E-25																												
	4732.87533	          	1.6687E-25																												
	4732.93915	          	2.0484E-25																												
	4733.16436	          	3.1175E-25																												
	4733.30242	          	2.5879E-25																												
1	4733.38678	   0.00004	1.3289E-24	1001_01_sE'<-0000   	1	1	0	0	1	0	1	0	3	9	7	6	5	93	0	0	0	0	0	0	0	1	10	6	2	2	2
	4733.59291	          	1.5088E-25																												
1	4733.69305	   0.00067	1.7986E-25	0011_11_aE"<-0000   	1	0	0	1	1	1	1	1	6	11	6	2	6	273	0	0	0	0	0	0	0	1	12	4	3	3	6
	4733.88335	          	5.0659E-25																												
	4733.93702	          	1.6587E-25																												
	4734.21522	          	5.0559E-24																												
1	4734.32422	   0.00012	9.5423E-25	0011_11_aA2"<-0000  	1	0	0	1	1	1	1	1	5	9	9	4	2	103	0	0	0	0	0	0	1	5	10	6	1	5	2
	4734.46921	          	4.9860E-25																												
1	4734.69940	          	1.2890E-24	0110_10_aE"<-0000   	1	0	1	1	0	1	0	1	6	13	9	4	3	193	0	0	0	0	0	0	1	5	12	10	3	6	2
1	4734.77101	   0.00038	9.1426E-25	0003_03_aA1"<-0000  	1	0	0	0	3	0	3	1	4	7	2	3	6	163	0	0	0	0	0	0	1	5	8	1	6	3	6
1	4734.82918	          	9.4324E-25	0110_10_sE'<-0000   	1	0	1	1	0	1	0	0	3	13	10	3	3	185	0	0	0	0	0	0	0	1	12	11	6	6	1
	4735.44900	          	4.8061E-25																												
	4735.59333	          	2.0384E-25																												
	4735.70558	          	1.4988E-24																												
	4735.78301	          	1.5987E-24																												
1	4735.99300	          	4.2266E-25	0110_10_aE"<-0000   	1	0	1	1	0	1	0	1	6	12	10	3	6	170	0	0	0	0	0	0	1	5	11	11	6	3	1
	4736.46777	          	2.0184E-24																												
1	4736.62522	   0.00010	3.6782E-25	0011_11_sE'<-0000   	1	0	0	1	1	1	1	0	3	11	8	3	2	131	0	0	0	0	0	0	1	5	12	6	1	5	3
1	4736.62487	          	6.0740E-25	0110_10_sE'<-0000   	1	0	1	1	0	1	0	0	3	14	9	4	6	212	0	0	0	0	0	0	0	1	13	10	3	3	3
1	4736.64819	          	8.6530E-25	0110_10_aE"<-0000   	1	0	1	1	0	1	0	1	6	14	8	3	5	113	0	0	0	0	0	0	1	5	13	9	4	2	2
1	4736.78062	   0.00025	1.3689E-24	0003_03_aA1"<-0000  	1	0	0	0	3	0	3	1	4	11	0	2	5	134	0	0	0	0	0	0	1	5	12	3	4	2	4
1	4736.92796	   0.00043	2.0484E-25	0011_11_aA2"<-0000  	1	0	0	1	1	1	1	1	5	10	8	3	6	235	0	0	0	0	0	0	1	5	11	5	6	3	5
	4737.01192	          	1.0092E-24																												
1	4737.11824	   0.00018	2.0384E-25	0011_11_aE"<-0000   	1	0	0	1	1	1	1	1	6	11	8	3	5	122	0	0	0	0	0	0	0	1	12	6	2	2	3
	4737.19642	          	7.6738E-25																												
	4737.50666	          	3.6970E-25																												
	4737.68129	          	2.8477E-24																												
1	4737.78811	   0.00011	1.7386E-24	0011_11_aE"<-0000   	1	0	0	1	1	1	1	1	6	11	8	3	6	244	0	0	0	0	0	0	1	5	12	7	6	3	4
1	4737.81931	   0.00008	1.4388E-24	1001_01_sE'<-0000   	1	1	0	0	1	0	1	0	3	10	4	3	2	121	0	0	0	0	0	0	0	1	11	3	5	5	3
	4737.91787	          	1.3889E-25																												
	4737.97413	          	5.5555E-25																												
	4738.12110	          	2.7878E-25																												
	4738.35773	          	2.5380E-25																												
	4738.39741	          	4.7362E-25																												
	4738.47985	          	8.4832E-25																												
	4738.56602	          	3.0575E-25																												
1	4738.86086	   0.00001	3.0575E-24	0003_03_sA2'<-0000  	1	0	0	0	3	0	3	0	2	3	3	4	5	29	0	0	0	0	0	0	1	5	4	3	4	2	1
	4738.96520	          	3.5072E-25																												
	4739.06936	          	1.3989E-25																												
	4739.17316	          	1.5488E-24																												
1	4739.32580	   0.00075	4.5763E-25	0011_11_aA2"<-0000  	1	0	0	1	1	1	1	1	5	12	6	1	5	161	0	0	0	0	0	0	1	5	13	3	4	2	4
1	4739.39146	   0.00021	3.8969E-25	0011_11_sA1'<-0000  	1	0	0	1	1	1	1	0	1	12	6	2	2	154	0	0	0	0	0	0	0	1	13	3	5	5	4
1	4739.44230	   0.00062	2.3581E-25	0011_11_aA2"<-0000  	1	0	0	1	1	1	1	1	5	11	7	6	3	274	0	0	0	0	0	0	1	5	12	4	3	6	6
1	4739.54291	   0.00033	1.7586E-24	0011_11_sE'<-0000   	1	0	0	1	1	1	1	0	3	11	8	3	3	246	0	0	0	0	0	0	0	1	12	7	6	6	4
1	4739.57637	   0.00012	1.0292E-24	1001_01_aE"<-0000   	1	1	0	0	1	0	1	1	6	9	6	1	6	205	0	0	0	0	0	0	1	5	10	5	6	3	4
1	4739.59216	   0.00067	1.0591E-24	1001_01_sE'<-0000   	1	1	0	0	1	0	1	0	3	9	6	2	3	200	0	0	0	0	0	0	0	1	10	5	6	6	4
	4739.64568	          	2.1982E-25																												
1	4739.78135	          	3.7870E-25	0110_10_sE'<-0000   	1	0	1	1	0	1	0	0	3	15	8	3	2	124	0	0	0	0	0	0	0	1	14	9	5	5	2
	4739.93837	          	4.2066E-25																												
1	4740.17322	          	1.3489E-24	0202_00_sA1'<-0000  	1	0	2	0	2	0	0	0	1	8	8	3	3	145	0	0	0	0	0	0	1	5	8	8	3	6	1
1	4740.19460	   0.00049	3.2474E-25	0011_11_sA1'<-0000  	1	0	0	1	1	1	1	0	1	11	7	6	6	275	0	0	0	0	0	0	0	1	12	4	3	3	6
1	4740.23341	   0.00020	9.7122E-25	1001_01_sE'<-0000   	1	1	0	0	1	0	1	0	3	8	8	3	3	159	0	0	0	0	0	0	0	1	9	7	6	6	2
	4740.32268	          	6.8045E-25																												
1	4740.54506	   0.00014	3.0276E-25	0310_10_sE'<-0100   	1	0	3	1	0	1	0	0	3	6	4	3	2	103	0	1	0	0	0	0	0	1	7	3	5	5	4
1	4740.57539	          	1.2350E-24	1001_01_aE"<-0000   	1	1	0	0	1	0	1	1	6	12	11	6	2	109	0	0	0	0	0	0	1	5	13	12	1	5	1
1	4740.58216	   0.00016	8.3840E-25	1001_01_aE"<-0000   	1	1	0	0	1	0	1	1	6	8	8	3	6	159	0	0	0	0	0	0	1	5	9	7	6	3	2
	4740.59570	          	1.7350E-24																												
1	4740.66352	   0.00059	2.0783E-25	0310_10_sE'<-0100   	1	0	3	1	0	1	0	0	3	7	0	2	3	259	0	1	0	0	0	0	0	1	8	1	6	6	11
	4740.79127	          	2.4280E-25																												
	4740.92819	          	2.5579E-25																												
	4740.95134	          	7.3241E-25																												
	4740.96606	          	2.2982E-25																												
	4741.00988	          	2.7178E-25																												
	4741.06236	          	7.6438E-25																												
1	4741.19177	          	1.2990E-24	0110_10_sE'<-0000   	1	0	1	1	0	1	0	0	3	13	11	6	5	86	0	0	0	0	0	0	0	1	12	12	2	2	1
	4741.27721	          	1.1691E-24																												
	4741.38956	          	9.8121E-25																												
	4741.40838	          	3.4672E-25																												
	4741.42938	          	1.2190E-24																												
1	4741.49485	          	3.2074E-25	0110_10_sE'<-0000   	1	0	1	1	0	1	0	0	3	14	10	3	3	204	0	0	0	0	0	0	0	1	13	11	6	6	2
	4741.51776	          	1.1091E-24																												
	4741.55152	          	1.9284E-24																												
	4741.60048	          	5.1459E-25																												
	4741.69335	          	1.1091E-24																												
	4741.71582	          	1.8485E-24																												
	4741.75389	          	4.9260E-25																												
	4742.10197	          	1.8585E-25																												
	4742.19632	          	5.7853E-25																												
	4742.49567	          	6.0751E-25																												
