ν1	ν2	ν3	ν4	L3	L4	J	K	i	Γ	Nb	E (cm-1)	δ (cm-1)	Transitions
0	1	0	0	0	0	7	7	a	E'	6	1337.880361	4.40E-04	67
0	1	0	0	0	0	6	3	a	A2'	4	1348.316324	2.65E-04	128
0	1	0	0	0	0	6	1	s	E"	7	1348.749243	2.65E-04	118
0	0	0	0	0	0	14	14	s	E'	1	1351.577473	3.80E-04	33
0	1	0	0	0	0	7	6	s	A2'	4	1351.591265	2.65E-04	129
0	0	0	0	0	0	14	14	a	E"	1	1352.749427	3.94E-04	35
0	0	0	0	0	0	13	11	s	E"	2	1352.773234	3.64E-04	65
0	0	0	0	0	0	13	11	a	E'	2	1353.501004	3.77E-04	58
0	0	0	0	0	0	12	7	s	E"	4	1358.078016	3.62E-04	74
0	0	0	0	0	0	12	7	a	E'	4	1358.53564	3.48E-04	69
0	1	0	0	0	0	6	2	a	E"	8	1366.753623	2.65E-04	104
0	1	0	0	0	0	6	1	a	E'	8	1377.798598	2.45E-04	103
0	1	0	0	0	0	6	0	a	A2"	6	1381.477397	2.45E-04	83
0	1	0	0	0	0	7	6	a	A2"	3	1386.260583	2.83E-04	112
0	1	0	0	0	0	7	5	s	E"	7	1394.924733	2.67E-04	104
0	1	0	0	0	0	8	8	s	E'	7	1400.93466	2.95E-04	62
0	0	0	0	0	0	12	6	s	A2'	3	1404.360442	3.62E-04	92
0	0	0	0	0	0	12	6	a	A2"	3	1404.769102	3.48E-04	90
0	1	0	0	0	0	7	5	a	E'	7	1427.009747	2.85E-04	97
0	0	0	0	0	0	13	10	s	E'	3	1429.117404	3.79E-04	55
0	0	0	0	0	0	13	10	a	E"	3	1429.72375	3.67E-04	51
0	1	0	0	0	0	7	4	s	E'	8	1430.118536	2.85E-04	113
0	1	0	0	0	0	8	8	a	E"	7	1439.833716	3.07E-04	60
0	0	0	0	0	0	12	5	s	E"	5	1443.311966	3.63E-04	65
0	0	0	0	0	0	12	5	a	E'	5	1443.683314	3.49E-04	54
0	0	0	0	0	0	14	13	s	E"	2	1452.016531	3.96E-04	50
0	0	0	0	0	0	14	13	a	E'	2	1452.942915	3.84E-04	46
0	1	0	0	0	0	7	3	s	A2"	4	1457.33329	2.83E-04	117
0	1	0	0	0	0	7	4	a	E"	8	1460.221317	2.67E-04	111
0	1	0	0	0	0	8	7	s	E"	8	1460.618237	4.64E-04	86
0	0	0	0	0	0	12	4	s	E'	6	1475.039712	3.48E-04	56
0	0	0	0	0	0	12	4	a	E"	6	1475.383072	3.62E-04	60
0	1	0	0	0	0	7	2	s	E'	9	1476.687614	2.83E-04	112
0	1	0	0	0	0	7	3	a	A2'	5	1485.966319	2.65E-04	114
0	1	0	0	0	0	7	1	s	E"	9	1488.267355	2.65E-04	100
0	1	0	0	0	0	7	0	s	A2'	6	1492.127439	2.65E-04	83
0	1	0	0	0	0	8	7	a	E'	8	1495.659833	4.52E-04	80
0	0	0	0	0	0	13	9	s	A2"	2	1497.549503	3.76E-04	70
0	0	0	0	0	0	13	9	a	A2'	2	1498.063608	3.62E-04	69
0	0	0	0	0	0	12	3	s	A2"	4	1499.610689	3.48E-04	83
0	0	0	0	0	0	12	3	a	A2'	4	1499.972143	3.62E-04	83
0	1	0	0	0	0	7	2	a	E"	10	1504.324256	2.65E-04	107
0	1	0	0	0	0	8	6	s	A2'	3	1511.799496	3.01E-04	119
0	1	0	0	0	0	9	9	s	A2"	4	1513.965252	3.20E-04	72
0	1	0	0	0	0	7	1	a	E'	10	1515.316692	2.83E-04	98
0	0	0	0	0	0	12	2	s	E'	7	1517.147657	3.49E-04	49
0	0	0	0	0	0	12	2	a	E"	7	1517.456944	3.63E-04	50
0	0	0	0	0	0	12	1	s	E"	8	1527.640071	3.62E-04	44
0	0	0	0	0	0	12	1	a	E'	8	1527.941368	3.48E-04	46
0	0	0	0	0	0	12	0	a	A2"	5	1531.433084	3.48E-04	48
0	0	0	0	0	0	15	15	s	A2"	1	1539.82723	4.08E-04	31
0	0	0	0	0	0	15	15	a	A2'	1	1541.074264	3.95E-04	33
0	1	0	0	0	0	8	6	a	A2"	4	1543.782551	2.84E-04	97
0	0	0	0	0	0	14	12	s	A2'	1	1543.842752	3.94E-04	51
0	0	0	0	0	0	14	12	a	A2"	1	1544.588398	3.79E-04	55
0	1	0	0	0	0	9	9	a	A2'	5	1553.965004	3.36E-04	56
0	1	0	0	0	0	8	5	s	E"	9	1554.725435	3.02E-04	97
0	0	0	0	0	0	13	8	s	E'	4	1558.274777	3.77E-04	49
0	0	0	0	0	0	13	8	a	E"	4	1558.718326	3.64E-04	44
0	1	0	0	0	0	9	8	s	E'	7	1581.68829	3.88E-04	68
0	1	0	0	0	0	8	5	a	E'	9	1584.313177	2.85E-04	95
0	1	0	0	0	0	8	4	s	E'	10	1589.594229	2.85E-04	90
0	0	0	0	0	0	13	7	s	E"	5	1611.470181	3.63E-04	40
0	0	0	0	0	0	13	7	a	E'	5	1611.859556	3.77E-04	43
0	2	0	0	0	0	1	1	s	E"	3	1612.819297	1.90E-04	25
0	1	0	0	0	0	8	3	s	A2"	5	1616.558894	2.86E-04	111
0	2	0	0	0	0	1	0	s	A2'	3	1617.054919	2.24E-04	22
0	1	0	0	0	0	9	8	a	E"	7	1617.241737	3.53E-04	63
0	1	0	0	0	0	8	4	a	E"	10	1617.345744	3.02E-04	101
0	0	0	1	0	1	0	0	s	E'	1	1625.481274	1.62E-04	12
0	0	0	1	0	1	0	0	a	E"	1	1626.578937	1.90E-04	10
0	0	0	0	0	0	14	11	s	E"	3	1627.363341	3.91E-04	42
0	0	0	0	0	0	14	11	a	E'	3	1627.974219	3.78E-04	35
0	1	0	0	0	0	8	2	s	E'	11	1635.741118	2.83E-04	87
0	0	0	1	0	1	1	1	s	E"	4	1638.793345	2.65E-04	32
0	1	0	0	0	0	10	10	s	E'	8	1638.96074	3.26E-04	56
0	0	0	1	0	1	1	1	a	E'	3	1639.874077	2.45E-04	29
0	1	0	0	0	0	9	7	s	E"	8	1640.725308	3.33E-04	88
0	2	0	0	0	0	2	2	s	E'	5	1640.851464	2.83E-04	29
0	1	0	0	0	0	8	3	a	A2'	4	1642.961661	3.01E-04	103
0	0	0	1	0	1	1	1	s	A2"	1	1644.561619	2.23E-04	22
0	0	0	1	0	1	1	0	s	E'	4	1645.836812	1.62E-04	37
0	0	0	1	0	1	1	1	a	A2'	4	1646.491043	2.23E-04	38
0	0	0	1	0	1	1	0	a	E"	5	1647.020833	1.90E-04	35
0	1	0	0	0	0	8	1	s	E"	11	1647.216822	3.01E-04	79
0	0	0	0	0	0	15	14	s	E'	1	1647.806848	4.14E-04	30
0	0	0	0	0	0	15	14	a	E"	1	1648.776225	4.00E-04	28
0	2	0	0	0	0	2	1	s	E"	5	1653.559761	1.90E-04	39
0	0	0	0	0	0	13	6	s	A2'	3	1657.285962	3.63E-04	48
0	0	0	0	0	0	13	6	a	A2"	3	1657.633768	3.77E-04	56
0	1	0	0	0	0	8	2	a	E"	12	1661.211407	3.35E-04	90
0	0	0	1	0	1	2	2	s	A2'	1	1664.430447	2.91E-04	38
0	0	0	1	0	1	2	2	a	A2"	3	1665.501547	2.73E-04	32
0	1	0	0	0	0	8	1	a	E'	12	1672.143589	2.85E-04	85
0	1	0	0	0	0	9	7	a	E'	8	1672.732989	3.47E-04	73
0	1	0	0	0	0	8	0	a	A2"	6	1675.784979	2.84E-04	64
0	0	0	1	0	1	2	2	s	E'	6	1676.504324	1.62E-04	56
0	0	0	1	0	1	2	2	a	E"	6	1677.844881	1.90E-04	54
0	0	0	1	0	1	2	1	s	E"	7	1679.480448	2.65E-04	51
0	1	0	0	0	0	10	10	a	E"	8	1680.238157	3.42E-04	47
0	0	0	1	0	1	2	1	a	E'	7	1680.707858	2.45E-04	55
0	2	0	0	0	0	3	3	s	A2"	3	1680.764299	3.07E-04	34
0	0	0	1	0	1	2	1	a	A2'	2	1685.748583	2.45E-04	36
0	0	0	1	0	1	2	1	s	A2"	4	1686.437566	2.23E-04	52
0	0	0	1	0	1	2	0	s	E'	8	1686.574689	1.62E-04	59
0	0	0	1	0	1	2	0	a	E"	8	1687.973047	1.90E-04	64
0	1	0	0	0	0	9	6	s	A2'	6	1691.366437	3.01E-04	100
0	0	0	0	0	0	13	5	s	E"	6	1695.848548	3.64E-04	35
0	0	0	0	0	0	13	5	a	E'	6	1696.164636	3.77E-04	33
0	2	0	0	0	0	3	2	s	E'	5	1701.914936	2.83E-04	53
0	0	0	1	0	1	3	3	s	E"	5	1702.388381	2.02E-04	44
0	0	0	0	0	0	14	10	s	E'	4	1702.844827	3.79E-04	35
0	0	0	0	0	0	14	10	a	E"	4	1703.354106	3.93E-04	38
0	0	0	1	0	1	3	3	a	E'	6	1703.452214	2.25E-04	39
0	2	0	0	0	0	3	1	s	E"	6	1714.683099	1.90E-04	47
0	1	0	0	0	0	10	9	s	A2"	5	1714.765216	3.20E-04	72
0	2	0	0	0	0	3	0	s	A2'	5	1718.949788	2.45E-04	38
0	0	0	1	0	1	3	3	s	E"	7	1720.506351	2.65E-04	62
0	1	0	0	0	0	9	6	a	A2"	5	1720.565577	3.17E-04	86
0	0	0	1	0	1	3	3	a	E'	7	1722.063409	2.83E-04	65
