        C3     C4  Uncertainty  C14  C15  C16  C17  C18  C19  C22  C23 C20 C25  C26  C27  C28  C29  C30  C31  C32  C35  C36 C33 C38  C39       Source
4285.62720 0.0005       0.0005    1    1    0    0    0    0    9    5   s  E"  136    0    0    0    0    0    0    9    5   a  E'    3  21CeCaCo.93
4285.69380 0.0005       0.0005    1    1    0    0    0    0    8    6   s A2'   53    0    0    0    0    0    0    8    6   a A2"    1  21CeCaCo.94
4286.12510 0.0005       0.0005    0    1    1    0    1    0    7    4   s  E'  116    0    0    0    0    0    0    8    5   s  E"    3  21CeCaCo.95
4286.15270 0.0005       0.0005    1    2    0    0    0    0    6    3   a A2'   85    0    1    0    0    0    0    6    3   s A2"    5  21CeCaCo.96
4286.45270 0.0005       0.0005    0    1    1    0    1    0    6    0   s  E'  103    0    0    0    0    0    0    7    2   a  E"    4  21CeCaCo.97
4286.46910 0.0005       0.0005    0    2    1    0    1    0    3    1   s  E"   96    0    1    0    0    0    0    2    2   s  E'    3  21CeCaCo.98
4286.49360 0.0005       0.0005    1    1    0    0    0    0    9    4   s  E'  139    0    0    0    0    0    0    9    4   a  E"    4  21CeCaCo.99
4286.56790 0.0005       0.0005    1    1    0    0    0    0    7    6   s A2'   54    0    0    0    0    0    0    7    6   a A2"    1 21CeCaCo.100
4286.88460 0.0005       0.0005    1    1    0    0    0    0    8    5   s  E"  122    0    0    0    0    0    0    8    5   a  E'    3 21CeCaCo.101
4287.14620 0.0005       0.0005    1    1    0    0    0    0    9    3   s A2"   69    0    0    0    0    0    0    9    3   a A2'    3 21CeCaCo.102
4287.17000 0.0005       0.0005    0    1    1    0    1    0    8    5   a A2'   60    0    0    0    0    0    0    9    6   a A2"    2 21CeCaCo.103
4287.36070 0.0005       0.0005    0    1    0    2    0    2    9    7   a A2'   63    0    0    0    0    0    0    8    6   a A2"    1 21CeCaCo.104
4287.36071 0.0005       0.0005    0    2    1    0    1    0    5    3   a  E'  157    0    1    0    0    0    0    6    4   a  E"    6 21CeCaCo.105
4287.50620 0.0019       0.0019    1    1    0    0    0    0   15   14   a  E"  184    0    0    0    0    0    0   15   14   s  E'    1 21CeCaCo.106
4287.57220 0.0005       0.0005    1    1    0    0    0    0    6    6   s A2'   41    0    0    0    0    0    0    6    6   a A2"    1 21CeCaCo.107
4287.62170 0.0005       0.0005    0    1    0    2    0    0    7    3   a A2'   55    0    0    0    0    0    0    7    6   a A2"    1 21CeCaCo.108
4287.63890 0.0005       0.0005    0    1    1    0    1    0    4    4   s A2'   30    0    0    0    0    0    0    5    3   s A2"    1 21CeCaCo.109
4287.67110 0.0005       0.0005    1    1    0    0    0    0    8    4   s  E'  125    0    0    0    0    0    0    8    4   a  E"    4 21CeCaCo.110
4287.82910 0.0005       0.0005    1    1    0    0    0    0    7    5   s  E"  106    0    0    0    0    0    0    7    5   a  E'    2 21CeCaCo.111
4287.91740 0.0005       0.0005    0    1    1    0    1    0    6    1   a  E'  104    0    0    0    0    0    0    7    1   s  E"    5 21CeCaCo.112
4287.95830 0.0005       0.0005    0    1    0    2    0    0    8    6   s A2'   50    0    0    0    0    0    0    7    6   a A2"    1 21CeCaCo.113
