C.1 	  C.2         	C.3       	C.4	  C.5         	 C.6     	C.7	 C.8     	  C.9         	C.10      	  C.11        	  C.12        	C.13              	C.14	C.15	C.16	C.17	C.18	C.19	C.20	C.21	C.22	C.23	C.24	C.25	C.26	C.27	C.28	C.29	C.30	C.31	C.32	C.33	C.34	C.35	C.36	C.37	C.38	C.39	C.40
99	  3922.81440	1.8251E-25	3																																				
100	  3923.09166	4.5104E-25	3	  3923.09225	 0.00054	6	 0.00059	  3923.18367	4.4784E-25	  1267.28000	  5190.46370	0102_02_sE'<-0000	1	0	1	0	2	0	2	0	3	10	5	6	5	74	0	0	0	0	0	0	1	5	11	3	4	2	3
101	  3923.41772	1.2441E-24	3	  3923.41750	 0.00043	2	-0.00022	  3923.14961	1.2225E-24	  1230.88840	  5154.03800	0202_00_sA1'<-0100	1	0	2	0	2	0	0	0	1	6	3	5	5	64	0	1	0	0	0	0	1	5	5	3	4	2	3
102	  3923.45223	2.6223E-25	3	  3923.45233	 0.00007	2	 0.00010	  3923.41915	3.7384E-25	  1132.23110	  5055.65020	1001_01_aE"<-0100	1	1	0	0	1	0	1	1	6	3	2	3	5	34	0	1	0	0	0	0	1	5	4	3	4	2	2
103	  3923.72827	7.2111E-24	3	  3923.72833	 0.00007	3	 0.00006	  3923.58470	7.3027E-24	  1378.57900	  5302.16370	1200_00_sA1'<-0100	1	1	2	0	0	0	0	0	1	5	1	6	6	128	0	1	0	0	0	0	1	5	6	1	6	3	8
104	  3923.75329	3.2141E-24	3	  3923.75332	 0.00001	2	 0.00003	  3923.83812	3.3767E-24	   656.43240	  4580.27050	0102_00_sA1'<-0000	1	0	1	0	2	0	0	0	1	8	8	3	3	98	0	0	0	0	0	0	1	5	9	8	3	6	1
105	  3924.18828	8.7272E-25	3	  3924.18828	          	1	-0.00000	  3923.68372	8.2933E-25	  1352.38040	  5276.06410	0202_02_sE'<-0100	1	0	2	0	2	0	2	0	3	8	7	6	5	77	0	1	0	0	0	0	0	1	7	6	2	2	4
106	  3924.34181	1.4392E-23	3	  3924.34190	 0.00004	2	 0.00009	  3924.19805	1.4747E-23	  1382.25770	  5306.45570	1200_00_sA1'<-0100	1	1	2	0	0	0	0	0	1	5	0	2	2	68	0	1	0	0	0	0	1	5	6	0	1	5	6
107	  3924.38837	7.2377E-25	3	  3924.38821	 0.00034	4	-0.00016	  3924.14721	7.3698E-25	   830.93790	  4755.08510	0102_02_sE'<-0000	1	0	1	0	2	0	2	0	3	8	5	6	6	108	0	0	0	0	0	0	0	1	9	4	3	3	4
108	  3924.59659	3.0629E-25	3																																				
109	  3924.74874	1.3867E-24	3	  3924.74920	 0.00008	3	 0.00046	  3924.61178	1.5273E-24	  1124.56160	  5049.17340	0102_00_sA1'<-0000	1	0	1	0	2	0	0	0	1	10	7	6	6	133	0	0	0	0	0	0	1	5	11	7	6	3	4
110	  3924.83504	6.1258E-25	3	  3924.83489	 0.00015	3	-0.00015	  3924.83708	6.1976E-25	   522.22220	  4447.05930	0400_00_aA2"<-0000	1	0	4	0	0	0	0	1	5	6	0	1	5	43	0	0	0	0	0	0	1	5	7	3	4	2	2
111	  3924.99347	3.3756E-24	3	  3924.99327	 0.00007	2	-0.00020	  3924.97025	3.0402E-24	   422.45620	  4347.42640	0400_00_aA2"<-0000	1	0	4	0	0	0	0	1	5	6	6	1	5	41	0	0	0	0	0	0	0	1	7	6	2	2	1
112	  3925.38933	5.9370E-25	3	  3925.38849	 0.00060	4	-0.00084	  3925.31540	3.1261E-25	   194.90700	  4120.22240	0301_01_sE'<-0000	1	0	3	0	1	0	1	0	3	3	0	2	3	40	0	0	0	0	0	0	0	1	4	1	6	6	3
113	  3925.50016	4.0699E-25	3																																				
114	  3925.81652	2.9350E-24	3	  3925.81644	 0.00008	3	-0.00008	  3925.75595	1.3781E-24	   205.26720	  4131.02320	0301_01_sE'<-0000	1	0	3	0	1	0	1	0	3	4	4	3	3	51	0	0	0	0	0	0	0	1	5	5	6	6	1
115	  3925.97183	1.5105E-25	3																																				
116	  3926.02480	2.2867E-25	3																																				
117	  3926.26503	5.4335E-25	3																																				
118	  3926.60090	4.2167E-25	3																																				
119	  3926.81287	2.6853E-25	3	  3926.81189	 0.00070	5	-0.00098	  3926.92458	3.9063E-25	  1532.21200	  5459.13660	0102_00_sA1'<-0000	1	0	1	0	2	0	0	0	1	11	0	2	2	86	0	0	0	0	0	0	1	5	12	0	1	5	5
120	  3926.88081	2.4399E-24	3	  3926.88093	 0.00018	2	 0.00012	  3926.81832	2.3622E-24	   265.22630	  4192.04460	0301_01_sE'<-0000	1	0	3	0	1	0	1	0	3	4	1	6	5	29	0	0	0	0	0	0	1	5	5	3	4	2	1
121	  3927.04536	6.9230E-25	3	  3927.04610	 0.00020	3	 0.00074	  3927.01327	7.7544E-25	  1498.33550	  5425.34880	0102_00_aA2"<-0000	1	0	1	0	2	0	0	1	5	12	9	4	2	75	0	0	0	0	0	0	0	1	13	9	5	5	2
122	  3927.28354	8.8603E-24	3	  3927.28357	 0.00003	3	 0.00003	  3927.26837	7.3466E-24	   383.31850	  4310.58680	0400_00_aA2"<-0000	1	0	4	0	0	0	0	1	5	5	3	4	2	36	0	0	0	0	0	0	0	1	6	3	5	5	2
123	  3927.29960	4.5524E-25	3																																				
124	  3927.35761	6.3566E-25	3	  3927.35734	 0.00012	2	-0.00027	  3927.25914	6.2214E-25	   656.43240	  4583.69150	0301_01_sE'<-0000	1	0	3	0	1	0	1	0	3	8	6	1	3	99	0	0	0	0	0	0	1	5	9	8	3	6	1
125	  3927.52430	7.3216E-25	3	  3927.52441	 0.00011	3	 0.00011	  3927.46308	6.0220E-25	   265.22630	  4192.68940	0301_01_sE'<-0000	1	0	3	0	1	0	1	0	3	5	5	6	5	28	0	0	0	0	0	0	1	5	5	3	4	2	1
126	  3928.05208	4.5524E-25	3	  3928.05226	 0.00014	5	 0.00018	  3927.79102	5.0850E-25	  1266.92940	  5194.72050	0102_02_sE'<-0000	1	0	1	0	2	0	2	0	3	10	4	3	2	68	0	0	0	0	0	0	0	1	11	3	5	5	3
127	  3928.65449	5.7482E-25	3																																				
128	  3929.02697	1.2713E-24	3	  3929.02699	 0.00016	5	 0.00002	  3928.78247	1.3959E-24	  1405.55250	  5334.33500	0102_00_sA1'<-0000	1	0	1	0	2	0	0	0	1	11	6	2	2	80	0	0	0	0	0	0	1	5	12	6	1	5	3
129	  3929.12215	3.6713E-25	3																																				
130	  3929.15693	8.3076E-25	3	  3929.15692	 0.00001	3	-0.00001	  3929.13280	8.8295E-25	  1174.60520	  5103.73800	0102_00_aA2"<-0000	1	0	1	0	2	0	0	1	5	11	10	3	6	136	0	0	0	0	0	0	0	1	12	10	3	3	2
131	  3929.35002	6.0838E-25	3	  3929.34805	 0.00276	2	-0.00197	  3928.98009	6.5793E-25	  1984.34880	  5913.32890	1300_00_sA1'<-0200	1	1	3	0	0	0	0	0	1	4	2	3	3	145	0	2	0	0	0	0	1	5	3	2	3	6	11
132	  3929.61736	6.0629E-25	3	  3929.61736	          	1	 0.00000	  3929.36978	8.1813E-25	  1966.75890	  5896.12870	1300_00_sA1'<-0200	1	1	3	0	0	0	0	0	1	4	3	5	5	76	0	2	0	0	0	0	1	5	3	3	4	2	8
133	  3929.88699	5.4964E-25	3																																				
134	  3929.89762	1.2860E-24	3	  3929.89763	 0.00003	4	 0.00001	  3929.83081	6.1958E-25	   183.82940	  4113.66020	0301_01_sE'<-0000	1	0	3	0	1	0	1	0	3	3	1	6	6	41	0	0	0	0	0	0	0	1	4	2	3	3	2
135	  3930.10235	4.0489E-25	3	  3930.10235	          	1	 0.00000	  3929.91733	3.7510E-25	  1994.90330	  5924.82060	1300_00_sA1'<-0200	1	1	3	0	0	0	0	0	1	4	1	6	6	143	0	2	0	0	0	0	1	5	3	1	6	3	11
136	  3930.45064	2.1608E-25	3																																				
137	  3930.52294	8.4335E-25	3	  3930.52238	 0.00056	3	-0.00056	  3930.45319	7.0951E-25	   581.46850	  4511.92170	0301_01_sE'<-0000	1	0	3	0	1	0	1	0	3	7	2	3	2	47	0	0	0	0	0	0	1	5	8	6	1	5	1
138	  3930.66679	5.4716E-24	3	  3930.66683	 0.00002	2	 0.00004	  3930.52453	5.7232E-24	  1204.91450	  5135.43900	1200_00_sA1'<-0100	1	1	2	0	0	0	0	0	1	4	4	3	3	98	0	1	0	0	0	0	1	5	5	4	3	6	6
139	  3930.89159	1.8461E-25	3																																				
140	  3931.02398	2.6853E-25	3																																				
141	  3931.36210	4.3426E-25	3	  3931.35977	 0.00076	4	-0.00233	  3931.28975	3.7456E-25	   463.70550	  4394.99520	0301_01_sE'<-0000	1	0	3	0	1	0	1	0	3	6	1	6	6	75	0	0	0	0	0	0	1	5	7	5	6	3	2
142	  3931.66485	4.6363E-25	3	  3931.66473	 0.00012	3	-0.00012	  3931.58785	4.2922E-25	   358.28360	  4289.87150	0301_01_sE'<-0000	1	0	3	0	1	0	1	0	3	5	0	2	3	65	0	0	0	0	0	0	1	5	6	4	3	6	2
143	  3931.71140	3.2917E-24	3	  3931.71205	 0.00020	3	 0.00065	  3931.64342	3.0571E-24	   908.57120	  4840.21460	0102_00_sA1'<-0000	1	0	1	0	2	0	0	0	1	9	7	6	6	116	0	0	0	0	0	0	1	5	10	7	6	3	3
144	  3931.92346	3.4405E-25	3																																				
145	  3932.03873	1.1329E-25	3																																				
146	  3932.63890	1.3343E-24	3																																				
147	  3932.77214	9.0629E-25	3																																				
148	  3933.46328	8.1188E-25	3	  3933.46283	 0.00029	6	-0.00045	  3933.53165	7.5410E-25	  1052.54460	  4986.07620	0102_02_sE'<-0000	1	0	1	0	2	0	2	0	3	9	5	6	5	60	0	0	0	0	0	0	1	5	10	3	4	2	3
149	  3933.48094	1.8671E-25	3																																				
150	  3933.65298	3.2936E-25	3																																				
151	  3933.84970	1.2336E-24	3	  3933.85010	 0.00003	3	 0.00040	  3933.62372	1.0979E-24	   653.86950	  4587.49320	0102_02_sE'<-0000	1	0	1	0	2	0	2	0	3	7	5	6	6	94	0	0	0	0	0	0	0	1	8	4	3	3	4
