C.1	C.2       	C.3    	C.4       	C.5               	C.6	C.7	C.8	C.9	C.10	C.11	C.12	C.13	C.14	C.15	C.16	C.17	C.18	C.19	C.20	C.21	C.22	C.23	C.24	C.25	C.26	C.27	C.28	C.29	C.30	C.31	C.32
1	4601.81070		2.0706E-24	0301_01_aE"<-0000	1	0	3	0	1	0	1	1	6	11	5	6	2	98	0	0	0	0	0	0	0	1	10	3	5	5	3
1	4601.85439	0.00006	5.1368E-23	0110_10_aE"<-0000	1	0	1	1	0	1	0	1	6	11	3	4	3	187	0	0	0	0	0	0	1	5	10	2	3	6	6
1	4601.93037	     	3.1468E-25																												
1	4602.20717		9.9230E-25	0301_01_aE"<-0000	1	0	3	0	1	0	1	1	6	9	5	6	3	154	0	0	0	0	0	0	1	5	8	2	3	6	5
1	4602.27664	0.00010	1.0679E-22	0110_10_aE"<-0000	1	0	1	1	0	1	0	1	6	9	1	6	3	155	0	0	0	0	0	0	1	5	8	2	3	6	5
1	4602.29447	     	1.7413E-24																												
1	4602.61530	0.00001	1.2394E-23	0110_10_sE'<-0000	1	0	1	1	0	1	0	0	3	13	6	2	3	214	0	0	0	0	0	0	0	1	12	5	6	6	5
1	4602.75103	     	2.8951E-25																												
1	4603.10634	0.00013	3.0565E-23	0110_10_aE"<-0000	1	0	1	1	0	1	0	1	6	12	5	6	3	203	0	0	0	0	0	0	1	5	11	4	3	6	6
1	4603.13210	     	1.3259E-24																												
1	4603.28559	0.00045	4.5254E-24	0110_10_sE'<-0000	1	0	1	1	0	1	0	0	3	14	8	3	3	220	0	0	0	0	0	0	0	1	13	7	6	6	5
1	4603.35153	0.00002	3.1418E-23	0110_10_aE"<-0000	1	0	1	1	0	1	0	1	6	14	10	3	5	106	0	0	0	0	0	0	1	5	13	9	4	2	2
1	4603.42670	     	2.5384E-25																												
1	4603.51264	0.00019	3.3957E-23	0110_10_aE"<-0000	1	0	1	1	0	1	0	1	6	15	13	6	2	104	0	0	0	0	0	0	1	5	14	12	1	5	1
1	4603.52397		5.5933E-24	0110_10_sE'<-0000	1	0	1	1	0	1	0	0	3	16	13	6	5	111	0	0	0	0	0	0	0	1	15	12	2	2	2
1	4603.57248	     	2.3916E-25																												
1	4604.05775	0.00003	1.1583E-22	0110_10_aE"<-0000	1	0	1	1	0	1	0	1	6	8	3	4	3	135	0	0	0	0	0	0	1	5	7	4	3	6	3
1	4604.06996	     	1.0196E-24																												
1	4604.13205	     	4.9090E-25																												
1	4604.80263	     	5.9999E-25																												
1	4605.04621	     	7.3006E-25																												
1	4605.14581	0.00064	1.3909E-24	0110_10_aE"<-0000	1	0	1	1	0	1	0	1	6	8	1	6	2	65	0	0	0	0	0	0	0	1	7	3	5	5	2
1	4605.20129	0.00026	3.5539E-23	0110_10_aE"<-0000	1	0	1	1	0	1	0	1	6	13	7	6	2	109	0	0	0	0	0	0	1	5	12	6	1	5	3
1	4605.53813	0.00037	6.1677E-25	0110_10_aE"<-0000	1	0	1	1	0	1	0	1	6	10	2	3	6	171	0	0	0	0	0	0	0	1	9	2	3	3	5
1	4605.63344		4.6919E-23	0110_10_aE"<-0000	1	0	1	1	0	1	0	1	6	16	16	3	5	99	0	0	0	0	0	0	1	5	15	15	4	2	1
1	4605.64190	     	1.9448E-24																												
1	4605.69428	0.00057	5.8111E-25	0110_10_aE"<-0000	1	0	1	1	0	1	0	1	6	9	0	2	6	156	0	0	0	0	0	0	0	1	8	2	3	3	5
1	4605.87701	     	2.3056E-24																												
