        nu  unc1  unc2  nu1'  nu2'  nu3'  nu4'  L3'  L4'  J'  K' i' Gtot'  Nb'  nu1"  nu2"  nu3"  nu4"  L3"  L4"  J"  K" i" Gtot"  Nb"         Source
9740.30577  0.01  0.01     1     0     1     2    1    2   2   1  a   A2'  215     0     0     0     0    0    0   2   0  a   A2"    1 17BaPoYuTe.113
9696.43274  0.01  0.01     2     0     0     2    0    2   4   3  a    E'  796     0     0     0     0    0    0   3   2  a    E"    1 17BaPoYuTe.362
9642.11064  0.01  0.01     2     0     1     0    1    0   3   1  s   A2"  303     0     0     0     0    0    0   4   3  a   A2'    1 17BaPoYuTe.459
9697.48013  0.01  0.01     2     0     1     0    1    0   3   0  s    E'  632     0     0     0     0    0    0   3   1  s    E"    2 17BaPoYuTe.455
9757.07821  0.01  0.01     2     0     1     0    1    0   3   0  s    E'  632     0     0     0     0    0    0   2   1  s    E"    2 17BaPoYuTe.456
9698.69343  0.01  0.01     2     0     1     0    1    0   3   1  a    E'  632     0     0     0     0    0    0   3   1  s    E"    2 17BaPoYuTe.548
9758.29301  0.01  0.01     2     0     1     0    1    0   3   1  a    E'  632     0     0     0     0    0    0   2   1  s    E"    2 17BaPoYuTe.550
9620.91112  0.01  0.01     2     0     1     0    1    0   3   0  a    E"  642     0     0     0     0    0    0   4   1  a    E'    3 17BaPoYuTe.551
9736.94189  0.01  0.01     1     0     1     2    1    2   3   2  s   A2'  340     0     0     0     0    0    0   3   3  s   A2"    1  17BaPoYuTe.15
9657.47468  0.01  0.01     1     0     1     2    1    2   3   2  s   A2'  340     0     0     0     0    0    0   4   3  s   A2"    1  17BaPoYuTe.12
9530.89816  0.01  0.01     2     0     0     2    0    2   4   2  s    E'  804     0     0     0     0    0    0   5   1  s    E"    4 17BaPoYuTe.243
9709.33239  0.01  0.01     2     0     0     2    0    2   4   2  s    E'  804     0     0     0     0    0    0   3   1  s    E"    2 17BaPoYuTe.244
9685.71578  0.01  0.01     2     0     0     2    0    2   5   5  s    E"  955     0     0     0     0    0    0   4   4  s    E'    1 17BaPoYuTe.249
9709.01789  0.01  0.01     2     0     0     2    0    2   4   2  a    E"  797     0     0     0     0    0    0   3   1  a    E'    2 17BaPoYuTe.359
9640.89705  0.01  0.01     1     0     1     2    1    2   3   3  a    E'  637     0     0     0     0    0    0   4   2  a    E"    2 17BaPoYuTe.114
9720.26885  0.01  0.01     1     0     1     2    1    2   3   3  a    E'  637     0     0     0     0    0    0   3   2  a    E"    1 17BaPoYuTe.122
9779.86553  0.01  0.01     1     0     1     2    1    2   3   3  a    E'  637     0     0     0     0    0    0   2   2  a    E"    1 17BaPoYuTe.128
9660.20277  0.01  0.01     2     0     1     0    1    0   4   4  s   A2'  382     0     0     0     0    0    0   4   3  s   A2"    1 17BaPoYuTe.471
9741.17597  0.01  0.01     2     0     1     0    1    0   4   4  a   A2"  415     0     0     0     0    0    0   3   3  a   A2'    1 17BaPoYuTe.562
9668.60164  0.01  0.01     2     0     0     2    0    2   4   2  s   A2'  383     0     0     0     0    0    0   4   3  s   A2"    1 17BaPoYuTe.241
9718.06906  0.01  0.01     2     0     0     2    0    2   4   1  s   A2"  417     0     0     0     0    0    0   3   0  s   A2'    2 17BaPoYuTe.242
