        nu  unc1  unc2  nu1'  nu2'  nu3'  nu4'  L3'  L4'  J'  K' i' Gtot'  Nb'  nu1"  nu2"  nu3"  nu4"  L3"  L4"  J"  K" i" Gtot"  Nb"           E'        Calc'  Obs-Calc'   ErrByte         Source Method  BandMatch
9668.60164  0.01  0.01     2     0     0     2    0    2   4   2  s   A2'  383     0     0     0     0    0    0   4   3  s   A2"    1  9833.932742  9834.255620  -0.322878  4.871977 17BaPoYuTe.241     Br      False
9718.06906  0.01  0.01     2     0     0     2    0    2   4   1  s   A2"  417     0     0     0     0    0    0   3   0  s   A2'    2  9837.306919  9838.182118  -0.875199  5.158873 17BaPoYuTe.242     Br       True
9672.88543  0.01  0.01     2     0     0     2    0    2   4   2  a   A2"  418     0     0     0     0    0    0   4   3  a   A2'    1  9838.973333  9838.182118   0.791215  1.225879 17BaPoYuTe.363     Br      False
9735.08439  0.01  0.01     1     0     1     2    1    2   3   2  a    E"  651     0     0     0     0    0    0   3   2  s    E'    1  9839.506478  9838.580160   0.926318 -2.490434 17BaPoYuTe.126   CD_b      False
9655.68569  0.01  0.01     1     0     1     2    1    2   3   2  a    E"  651     0     0     0     0    0    0   4   2  s    E'    2  9839.514801  9838.580160   0.934641 -2.480930 17BaPoYuTe.120   CD_b      False
9724.72133  0.01  0.01     1     0     1     2    1    2   3   2  s    E'  642     0     0     0     0    0    0   3   1  s    E"    2  9840.257961  9839.820221   0.437740 -1.822697  17BaPoYuTe.18     Br      False
9726.94892  0.01  0.01     1     0     1     2    1    2   3   2  a    E"  652     0     0     0     0    0    0   3   1  a    E'    2  9843.227215  9843.373466  -0.146251 -2.283288 17BaPoYuTe.123     CD      False
9786.51890  0.01  0.01     1     0     1     2    1    2   3   2  a    E"  652     0     0     0     0    0    0   2   1  a    E'    2  9843.228127  9843.373466  -0.145339 -2.283311 17BaPoYuTe.130     CD      False
9647.61842  0.01  0.01     1     0     1     2    1    2   3   2  a    E"  652     0     0     0     0    0    0   4   1  a    E'    3  9843.229741  9843.373466  -0.143725 -2.279374 17BaPoYuTe.116     CD      False
9644.16753  0.01  0.01     1     0     1     2    1    2   3   3  a   A2'  345     0     0     0     0    0    0   4   0  a   A2"    2  9843.461467  9841.325375   2.136092 -2.268882 17BaPoYuTe.115     CD      False
9783.05081  0.01  0.01     1     0     1     2    1    2   3   3  a   A2'  345     0     0     0     0    0    0   2   0  a   A2"    1  9843.463828  9841.325375   2.138453 -2.268884 17BaPoYuTe.129     CD      False
9659.95258  0.01  0.01     1     0     1     2    1    2   3   1  a    E'  645     0     0     0     0    0    0   4   2  a    E"    2  9844.505637  9843.412807   1.092830 -3.441750 17BaPoYuTe.121   CD_b      False
9739.33178  0.01  0.01     1     0     1     2    1    2   3   1  a    E'  645     0     0     0     0    0    0   3   2  a    E"    1  9844.515535  9843.412807   1.102728 -3.433171 17BaPoYuTe.127   CD_b      False
9649.07592  0.01  0.01     1     0     1     2    1    2   3   0  a    E"  654     0     0     0     0    0    0   4   1  a    E'    3  9844.687241  9844.644273   0.042968 -2.370714 17BaPoYuTe.117     CD      False
9728.40952  0.01  0.01     1     0     1     2    1    2   3   0  a    E"  654     0     0     0     0    0    0   3   1  a    E'    2  9844.687815  9844.644273   0.043542 -2.371528 17BaPoYuTe.124     CD      False
9740.34177  0.01  0.01     2     0     0     2    0    2   4   1  s    E"  800     0     0     0     0    0    0   3   2  s    E'    1  9844.763858  9843.980680   0.783178  4.830788 17BaPoYuTe.237     Br      False
